Date, Symbol, Series,OpenPrice,HighPrice,LowPrice,LastTradedPrice ,ClosePrice, Total Traded Quantity, Turnover (in Lakhs)
13-Apr-20, LT, EQ,812.8,872.4,807.95,864.4,865.45,9462929,80158.97
09-Apr-20, LT, EQ,834.35,834.35,804.4,805,812.8,6410629,52338.49
08-Apr-20, LT, EQ,804,832,797.7,808,807.1,6151093,50037.53
07-Apr-20, LT, EQ,805,813,791,802.2,801.65,5769216,46404.57
03-Apr-20, LT, EQ,791.1,791.1,762.8,783,774.65,4268501,33009.75
01-Apr-20, LT, EQ,806.85,812.4,766.55,775.55,774.35,4104461,32099.31
31-Mar-20, LT, EQ,820,823,791.2,810.1,808.5,8045539,64915.72
30-Mar-20, LT, EQ,801,815,791,799,798.65,4474168,35907.03
27-Mar-20, LT, EQ,867.9,890,812,841,837.05,6573602,55586.93
26-Mar-20, LT, EQ,787.75,842.3,754.15,842.3,838,9028697,72947.77
25-Mar-20, LT, EQ,697.2,775,661,769,765.75,16122626,112607.89
24-Mar-20, LT, EQ,755,755.75,672,710,707.9,7113438,50306.57
23-Mar-20, LT, EQ,809,809.95,706,721,724.05,7310033,54475.78
20-Mar-20, LT, EQ,849,877.8,831.3,852,864.7,6130498,52360.36
19-Mar-20, LT, EQ,873.9,884,837.7,839,843.1,7252149,62306.13
18-Mar-20, LT, EQ,968,974.75,900,912,904.55,5586629,52014.95
17-Mar-20, LT, EQ,972,1005,940.15,953,956.75,4720357,46010.55
16-Mar-20, LT, EQ,1014.25,1042,961.9,968,968.7,6672579,66635.38
